period	AA	TT	CC	GG	SS	WW	RR	YY	sample	condition
10.000000	0.012086	0.010956	0.006433	0.016166	0.008860	0.012298	0.002368	0.006372	17	apoptotic
10.100000	0.008908	0.008053	0.006985	0.013530	0.006361	0.009201	0.001162	0.003612	17	apoptotic
10.200000	0.005296	0.004738	0.006795	0.006734	0.006073	0.006332	0.006098	0.004208	17	apoptotic
10.300000	0.004083	0.006215	0.002829	0.005792	0.009396	0.007560	0.010159	0.005798	17	apoptotic
10.400000	0.002974	0.009046	0.003969	0.012041	0.008937	0.008842	0.009969	0.004828	17	apoptotic
10.500000	0.003663	0.009432	0.010191	0.014661	0.003724	0.006562	0.006950	0.003365	17	apoptotic
10.600000	0.007898	0.007077	0.012824	0.012499	0.003951	0.000739	0.008727	0.006597	17	apoptotic
10.700000	0.011034	0.004368	0.010865	0.007134	0.009843	0.006856	0.013557	0.010553	17	apoptotic
10.800000	0.011067	0.005769	0.006678	0.003132	0.011533	0.012611	0.015202	0.013072	17	apoptotic
10.900000	0.008324	0.007868	0.006983	0.006695	0.008611	0.014002	0.012303	0.013994	17	apoptotic
9.500000	0.014640	0.014132	0.008215	0.008886	0.000919	0.016825	0.008834	0.012771	18	apoptotic
9.600000	0.017672	0.011083	0.009177	0.006989	0.004174	0.018776	0.004681	0.014224	18	apoptotic
9.700000	0.015841	0.007590	0.008871	0.003543	0.008108	0.012167	0.005860	0.010602	18	apoptotic
9.800000	0.013338	0.011635	0.003331	0.001610	0.014064	0.002195	0.006227	0.006335	18	apoptotic
9.900000	0.010625	0.013807	0.006447	0.003088	0.019933	0.006550	0.005817	0.008244	18	apoptotic
10.000000	0.005379	0.011874	0.012350	0.006882	0.022782	0.006795	0.006499	0.009410	18	apoptotic
10.100000	0.004047	0.010035	0.013364	0.010483	0.021717	0.005004	0.005726	0.007160	18	apoptotic
10.200000	0.011029	0.010814	0.011108	0.011630	0.018545	0.014223	0.004923	0.005946	18	apoptotic
10.300000	0.014820	0.010260	0.010036	0.009485	0.015048	0.022030	0.008433	0.007784	18	apoptotic
10.400000	0.014243	0.007037	0.010455	0.005136	0.011051	0.023054	0.011789	0.008479	18	apoptotic
10.500000	0.010948	0.005360	0.008719	0.002468	0.005484	0.016960	0.012034	0.008394	18	apoptotic
10.600000	0.007535	0.008380	0.004146	0.004931	0.002314	0.007025	0.009712	0.009756	18	apoptotic
10.700000	0.004931	0.010862	0.001412	0.006092	0.008899	0.004437	0.007921	0.010982	18	apoptotic
10.800000	0.002641	0.011377	0.004999	0.004957	0.013785	0.009935	0.008287	0.009638	18	apoptotic
10.900000	0.004636	0.010656	0.005262	0.002083	0.015477	0.010941	0.008025	0.005585	18	apoptotic
9.500000	0.015370	0.014553	0.008050	0.008301	0.008646	0.025685	0.006700	0.007616	19	apoptotic
9.600000	0.015066	0.013076	0.010797	0.008258	0.007808	0.025330	0.012932	0.012581	19	apoptotic
9.700000	0.007537	0.009726	0.007622	0.005336	0.004169	0.017079	0.015122	0.018500	19	apoptotic
9.800000	0.005457	0.008012	0.000816	0.002791	0.004176	0.005154	0.013634	0.016753	19	apoptotic
9.900000	0.013251	0.008067	0.006685	0.004762	0.004988	0.005277	0.010745	0.009519	19	apoptotic
10.000000	0.015914	0.006976	0.006843	0.006481	0.005857	0.010411	0.007695	0.004295	19	apoptotic
10.100000	0.013214	0.006449	0.001063	0.007906	0.010915	0.009900	0.004549	0.004643	19	apoptotic
10.200000	0.007978	0.008168	0.009970	0.009893	0.015532	0.006930	0.001853	0.001917	19	apoptotic
10.300000	0.002524	0.009214	0.017153	0.010825	0.016031	0.006375	0.001349	0.003979	19	apoptotic
10.400000	0.003002	0.009375	0.017751	0.009266	0.012052	0.007709	0.005724	0.010017	19	apoptotic
10.500000	0.008493	0.010615	0.011573	0.005654	0.005678	0.008655	0.011187	0.014372	19	apoptotic
10.600000	0.012714	0.011977	0.002084	0.002887	0.001299	0.010180	0.015751	0.017386	19	apoptotic
10.700000	0.013820	0.010878	0.006905	0.004193	0.004168	0.012187	0.017841	0.019804	19	apoptotic
10.800000	0.011179	0.006518	0.010744	0.004810	0.004660	0.013091	0.017156	0.020595	19	apoptotic
10.900000	0.006607	0.000271	0.008907	0.003460	0.003317	0.012408	0.014568	0.018075	19	apoptotic
9.500000	0.008376	0.008378	0.008248	0.008998	0.003864	0.017706	0.015487	0.015305	2	apoptotic
9.600000	0.009543	0.007788	0.003648	0.011063	0.007465	0.019160	0.013107	0.008589	2	apoptotic
9.700000	0.007946	0.003071	0.007400	0.010028	0.002755	0.016546	0.004967	0.004318	2	apoptotic
9.800000	0.005038	0.002864	0.008156	0.007753	0.006508	0.008850	0.009095	0.011550	2	apoptotic
9.900000	0.001933	0.006897	0.004639	0.008649	0.011856	0.001863	0.015163	0.017645	2	apoptotic
10.000000	0.003077	0.010093	0.000800	0.010852	0.010374	0.008980	0.015811	0.020358	2	apoptotic
10.100000	0.008804	0.012692	0.003950	0.010238	0.004731	0.010242	0.014226	0.018937	2	apoptotic
10.200000	0.013299	0.012970	0.006453	0.006365	0.007729	0.005364	0.014592	0.014034	2	apoptotic
10.300000	0.014334	0.009559	0.009140	0.001630	0.011276	0.004453	0.014669	0.007568	2	apoptotic
10.400000	0.011888	0.003780	0.010843	0.004481	0.009361	0.011323	0.011553	0.003631	2	apoptotic
10.500000	0.008606	0.004468	0.009581	0.006539	0.005750	0.014142	0.007079	0.005203	2	apoptotic
10.600000	0.008003	0.008176	0.005137	0.005672	0.008658	0.011939	0.007514	0.005732	2	apoptotic
10.700000	0.008635	0.008391	0.003631	0.003855	0.011269	0.007010	0.010163	0.003993	2	apoptotic
10.800000	0.007474	0.005542	0.009191	0.005763	0.009122	0.004536	0.009994	0.001179	2	apoptotic
10.900000	0.004413	0.001989	0.012673	0.009347	0.003319	0.005620	0.007621	0.003136	2	apoptotic
9.500000	0.008760	0.009340	0.006866	0.006518	0.004490	0.004883	0.006260	0.007664	20	apoptotic
9.600000	0.006434	0.011147	0.007223	0.011263	0.006320	0.007744	0.006185	0.004251	20	apoptotic
9.700000	0.005548	0.005202	0.001916	0.009175	0.005603	0.012196	0.008350	0.003518	20	apoptotic
9.800000	0.007058	0.004522	0.006240	0.006019	0.005828	0.010258	0.009185	0.008914	20	apoptotic
9.900000	0.006614	0.011319	0.011677	0.013261	0.012186	0.007305	0.011079	0.011087	20	apoptotic
10.000000	0.003873	0.011186	0.012217	0.017110	0.015820	0.007301	0.013368	0.009706	20	apoptotic
10.100000	0.003049	0.004346	0.008412	0.013069	0.012704	0.006878	0.012104	0.007090	20	apoptotic
10.200000	0.004854	0.005188	0.003390	0.003671	0.003925	0.007787	0.007882	0.005282	20	apoptotic
10.300000	0.005193	0.012338	0.001730	0.007125	0.006166	0.011646	0.007689	0.004340	20	apoptotic
10.400000	0.005346	0.014382	0.003466	0.013030	0.012517	0.014653	0.010465	0.005869	20	apoptotic
10.500000	0.007106	0.011902	0.006232	0.013044	0.012204	0.015088	0.009064	0.008144	20	apoptotic
10.600000	0.008779	0.008140	0.009395	0.008644	0.005691	0.013631	0.003628	0.007867	20	apoptotic
10.700000	0.009002	0.005874	0.010839	0.003660	0.004165	0.011556	0.008415	0.005218	20	apoptotic
10.800000	0.008232	0.003414	0.009471	0.002702	0.012429	0.009214	0.016525	0.007987	20	apoptotic
10.900000	0.007823	0.001269	0.005851	0.002158	0.016447	0.006698	0.020840	0.014848	20	apoptotic
9.500000	0.007699	0.007033	0.008141	0.007424	0.025132	0.003723	0.014037	0.010696	21	apoptotic
9.600000	0.012786	0.004122	0.009256	0.005053	0.021494	0.006197	0.013004	0.013981	21	apoptotic
9.700000	0.010603	0.002174	0.006564	0.002652	0.010544	0.010060	0.017043	0.012527	21	apoptotic
9.800000	0.002666	0.002250	0.007125	0.006401	0.000653	0.009307	0.016499	0.008855	21	apoptotic
9.900000	0.007712	0.002100	0.009631	0.009938	0.006312	0.005992	0.010264	0.008583	21	apoptotic
10.000000	0.013847	0.005853	0.008091	0.009835	0.005650	0.004434	0.011460	0.011599	21	apoptotic
10.100000	0.014350	0.009474	0.002238	0.006639	0.004021	0.006427	0.019072	0.014413	21	apoptotic
10.200000	0.010666	0.010891	0.005215	0.004808	0.005472	0.009812	0.020867	0.015710	21	apoptotic
10.300000	0.005905	0.010419	0.010631	0.006014	0.003453	0.012731	0.014872	0.014018	21	apoptotic
10.400000	0.001686	0.009897	0.012158	0.005460	0.006046	0.013611	0.004423	0.009549	21	apoptotic
10.500000	0.003536	0.009878	0.010128	0.004279	0.016436	0.012225	0.006577	0.007277	21	apoptotic
10.600000	0.009889	0.009167	0.006874	0.007539	0.025165	0.009904	0.011939	0.010228	21	apoptotic
